ピンクジン,ジン,ショート,ステア,40,辛,アンゴスチュラビターズ,,,
ピンクレディ,ジン,ショート,シェーク,20,中,レモンジュース,卵白,,
ブラッディサム,ジン,ロング,ビルド,12,辛,トマトジュース,,,
プリンセスメアリー,ジン,ショート,シェーク,20,甘,生クリーム,,,
ブルームーン,ジン,ショート,シェーク,30,中,レモンジュース,,,
ブルドックハイボール,ジン,ロング,ビルド,14,中,オレンジジュース,ジンジャーエール,,
フレンチ75,ジン,ロング,シェーク,18,中,レモンジュース,シャンパン,,
ブロンクス,ジン,ショート,シェーク,25,中,スイートベルモット,オレンジジュース,,
ホノルル,ジン,ショート,シェーク,35,中,オレンジジュース,パイナップルジュース,,
ホワイトウィングス,ジン,ショート,シェーク,32,中,ペパーミント,,,
ホワイトリリー,ジン,ショート,ステア,35,中,ペルノ,,,
ホワイトレディ,ジン,ショート,シェーク,29,中,レモンジュース,,,
ホワイトローズ,ジン,ショート,シェーク,20,中,オレンジジュース,レモンジュース,,
マグノリアブロッサム,ジン,ショート,シェーク,20,中,生クリーム,レモンジュース,,
マティーニ,ジン,ショート,ステア,34,辛,レモンビール,オリーブ,,
マティーニスイート,ジン,ショート,ステア,32,中,,,,
マティーニスイートドライ,ジン,ショート,ステア,35,辛,レモンビール,オリーブ,,
マティーニミディアム,ジン,ショート,ステア,30,中,オリーブ,スイートベルモット,,
マティーニオンザロック,ジン,ロング,ステア,35,辛,レモンジュース,オリーブ,,
マリオネット,ジン,ショート,シェーク,22,中,グレープフルーツジュース,オレンジビール,,
ミリオンダラー,ジン,ショート,シェーク,18,中,パイナップルジュース,卵白,,
メリーウィドウ,ジン,ショート,ステア,25,辛,レモンビール,ペルノ,,
メロンスペシャル,ジン,ショート,シェーク,24,中,ライムジュース,オレンジビターズ,,
ヨコハマ,ジン,ショート,シェーク,18,中,オレンジジュース,ペルノ,,
レディ80,ジン,ショート,シェーク,26,甘,パイナップルジュース,,,
ロイヤルフィズ,ジン,ロング,シェーク,12,中,レモンジュース,卵,,
ロングアイランドアイスティー,ジン,ロング,ビルド,19,中,レモンジュース,コーラ,,
アンジェロ,ウォッカ,ショート,シェーク,12,中,オレンジジュース,パイナップルジュース,,
イーストウィング,ウォッカ,ショート,シェーク,22,中,,,,
インプレッション,ウォッカ,ショート,シェーク,27,中,アップルジュース,,,
ヴィヒネ,ウォッカ,ショート,シェーク,20,中,パイナップルジュース,レモンジュース,,
ウォッカアイスバーグ,ウォッカ,ロング,ビルド,38,辛,ペルノ,,,
ウォッカアップル,ウォッカ,ロング,ビルド,15,中,アップルジュース,,,
ウォッカアンドミドリ,ウォッカ,ロング,ビルド,30,甘,緑,,,
ウォッカギブソン,ウォッカ,ショート,ステア,30,辛,パールオニオン,,,
ウォッカギムレット,ウォッカ,ショート,シェーク,30,中,ライムジュース,,,
ウォッカソーダ,ウォッカ,ロング,ビルド,14,辛,スライスライム,,,
ウォッカトニック,ウォッカ,ロング,ビルド,14,中,スライスレモン,,,
ウォッカマティーニ,ウォッカ,ショート,ステア,31,辛,レモンピール,,,
ウォッカライム,ウォッカ,ロング,ビルド,30,中,ライムジュース,,,
ウォッカリッキー,ウォッカ,ロング,ビルド,14,辛,生ライム,,,
カイピロスカ,ウォッカ,ロング,ビルド,28,中,生ライム,,,
